Dataset(id='mmarco/fr/dev/small', provides=['docs', 'queries', 'qrels', 'scoreddocs'])
TrecQrel(query_id='300674', doc_id='7067032', relevance=1, iteration='0')
TrecQrel(query_id='125705', doc_id='7067056', relevance=1, iteration='0')
TrecQrel(query_id='94798', doc_id='7067181', relevance=1, iteration='0')
TrecQrel(query_id='9083', doc_id='7067274', relevance=1, iteration='0')
TrecQrel(query_id='174249', doc_id='7067348', relevance=1, iteration='0')
TrecQrel(query_id='320792', doc_id='7067677', relevance=1, iteration='0')
TrecQrel(query_id='1090270', doc_id='7067796', relevance=1, iteration='0')
TrecQrel(query_id='1101279', doc_id='7067891', relevance=1, iteration='0')
TrecQrel(query_id='201376', doc_id='7068066', relevance=1, iteration='0')
TrecQrel(query_id='54544', doc_id='7068203', relevance=1, iteration='0')
TrecQrel(query_id='118457', doc_id='7068493', relevance=1, iteration='0')
TrecQrel(query_id='178627', doc_id='7068519', relevance=1, iteration='0')
TrecQrel(query_id='178627', doc_id='7068520', relevance=1, iteration='0')
TrecQrel(query_id='1101278', doc_id='7068907', relevance=1, iteration='0')
TrecQrel(query_id='68095', doc_id='7069266', relevance=1, iteration='0')
TrecQrel(query_id='87892', doc_id='7069601', relevance=1, iteration='0')
TrecQrel(query_id='257309', doc_id='4959637', relevance=1, iteration='0')
TrecQrel(query_id='1090242', doc_id='7070556', relevance=1, iteration='0')
TrecQrel(query_id='211691', doc_id='7070643', relevance=1, iteration='0')
TrecQrel(query_id='165002', doc_id='7070877', relevance=1, iteration='0')
TrecQrel(query_id='1101276', doc_id='7070950', relevance=1, iteration='0')
TrecQrel(query_id='264827', doc_id='7071066', relevance=1, iteration='0')
TrecQrel(query_id='342285', doc_id='7071436', relevance=1, iteration='0')
TrecQrel(query_id='372586', doc_id='7071494', relevance=1, iteration='0')
TrecQrel(query_id='89786', doc_id='7071501', relevance=1, iteration='0')
TrecQrel(query_id='118448', doc_id='7071642', relevance=1, iteration='0')
TrecQrel(query_id='92542', doc_id='7072003', relevance=1, iteration='0')
TrecQrel(query_id='206117', doc_id='7072155', relevance=1, iteration='0')
TrecQrel(query_id='206117', doc_id='7072156', relevance=1, iteration='0')
TrecQrel(query_id='206117', doc_id='7072160', relevance=1, iteration='0')
TrecQrel(query_id='141472', doc_id='7072290', relevance=1, iteration='0')
